sample,pH,Salinity,TOC,Sulfide,TN,TP,Cd,Fe,Ni,mainVariable1,mainVariable2,mainVariable3
R2,6.9500 ,29.0000 ,13.9500 ,172.7837 ,1.0483 ,0.2221 ,0.0000 ,86.0223 ,0.0000 ,M,A,W
R3,6.4300 ,29.0000 ,17.6400 ,60.5408 ,1.1337 ,0.2471 ,0.0000 ,106.8490 ,0.0000 ,M,A,W
WSPA1,7.7000 ,23.0000 ,17.7000 ,415.0000 ,0.5530 ,1.1600 ,0.1000 ,0.0000 ,13.0000 ,N,A,W
WSPA2,7.7000 ,22.0000 ,20.5000 ,739.5000 ,0.8190 ,1.0200 ,0.1800 ,0.0000 ,13.0000 ,N,A,W
WSPA3,7.7000 ,22.0000 ,18.4000 ,425.0000 ,0.4820 ,0.7600 ,0.0800 ,0.0000 ,16.0000 ,N,A,W
WSPB1,6.9000 ,23.0000 ,34.0000 ,785.0000 ,2.0000 ,1.7900 ,0.3600 ,0.0000 ,21.0000 ,M,A,W
WSPB2,6.8000 ,22.0000 ,26.5000 ,917.0000 ,1.6820 ,1.4800 ,0.2900 ,0.0000 ,23.0000 ,M,A,W
WSPB3,6.6000 ,22.0000 ,27.4000 ,1469.0000 ,1.7430 ,1.7900 ,0.5000 ,0.0000 ,22.0000 ,M,A,W
WSPC1,6.5000 ,26.0000 ,29.4000 ,667.0000 ,1.4150 ,1.3900 ,0.2800 ,0.0000 ,33.0000 ,M,A,W
WSPC2,6.6000 ,27.0000 ,29.7000 ,614.0000 ,1.3860 ,1.0000 ,0.1400 ,0.0000 ,25.0000 ,M,A,W
WSPC3,6.7000 ,27.0000 ,34.5000 ,811.0000 ,1.6600 ,1.4000 ,0.3400 ,0.0000 ,20.0000 ,M,A,W
DSPA1,6.5000 ,22.0000 ,27.9000 ,629.5000 ,0.2690 ,0.8800 ,0.2400 ,0.0000 ,27.0000 ,N,A,D
DSPA2,6.6000 ,23.0000 ,29.2000 ,639.9000 ,0.2680 ,1.1000 ,0.3500 ,0.0000 ,27.0000 ,N,A,D
DSPA3,6.5000 ,24.0000 ,32.8000 ,665.5000 ,0.2880 ,0.9200 ,0.3800 ,0.0000 ,27.0000 ,N,A,D
DSPB1,6.8000 ,22.0000 ,11.7000 ,216.9500 ,0.1170 ,1.1000 ,0.1800 ,0.0000 ,20.0000 ,M,A,D
DSPB2,6.8000 ,23.0000 ,13.0000 ,215.9500 ,0.1140 ,1.1700 ,0.1800 ,0.0000 ,29.0000 ,M,A,D
DSPB3,6.9000 ,23.0000 ,12.4000 ,221.8500 ,0.1150 ,1.2900 ,0.2000 ,0.0000 ,19.0000 ,M,A,D
DSPC1,6.6000 ,26.0000 ,24.8000 ,449.6500 ,0.2210 ,10.5000 ,0.1500 ,0.0000 ,22.0000 ,M,A,D
DSPC2,6.4000 ,27.0000 ,27.5000 ,461.3500 ,0.2380 ,12.6000 ,0.1400 ,0.0000 ,24.0000 ,M,A,D
DSPC3,6.6000 ,27.0000 ,26.3000 ,451.6500 ,0.2360 ,13.9000 ,0.1400 ,0.0000 ,23.0000 ,M,A,D
